State/UT,Dowry Deaths ,Murder with Rape,Acid Attack ,Cruelty by Husband or his relatives,Kidnapping & Abduction,Procuration of Minor Girls ,Sexual Assault of Children ,year,Total crimes
KARNATAKA,2,0,0,22,5,1,0,2011,30
KARNATAKA,0,5,11,32,5,1,0,2011,54
KARNATAKA,2,36,4,153,73,1,0,2011,269
KARNATAKA,32,27,3,264,25,1,0,2011,352
KARNATAKA,0,13,0,74,0,1,0,2011,88
KARNATAKA,1,4,3,28,11,1,0,2011,48
KARNATAKA,5,16,1,57,5,1,0,2011,85
KARNATAKA,3,17,0,23,13,1,0,2011,57
KARNATAKA,0,13,41,70,0,1,0,2011,125
KARNATAKA,12,31,3,230,31,1,0,2011,308
KARNATAKA,0,16,0,43,4,1,0,2011,64
KARNATAKA,5,11,0,32,17,1,0,2011,66
KARNATAKA,7,19,0,158,39,1,0,2011,224
KARNATAKA,10,29,0,174,14,1,0,2011,228
KARNATAKA,0,0,8,0,1,1,0,2011,10
KARNATAKA,23,19,0,71,45,1,0,2011,159
KARNATAKA,6,23,0,278,18,1,0,2011,326
KARNATAKA,17,31,2,124,14,1,0,2011,189
KARNATAKA,1,5,5,42,3,1,0,2011,57
KARNATAKA,3,11,0,75,4,1,0,2011,94
KARNATAKA,2,9,3,65,0,1,0,2011,80
KARNATAKA,267,636,6,3712,715,1,0,2011,5337
KERALA,1,56,0,310,10,1,0,2011,378
KERALA,1,62,0,225,4,1,0,2011,293
KERALA,0,30,7,136,11,1,0,2011,185
KERALA,0,54,0,237,8,1,0,2011,300
KERALA,0,55,0,373,11,1,0,2011,440
KERALA,0,125,0,196,8,1,0,2011,330
KERALA,1,51,0,319,20,1,0,2011,392
KERALA,0,46,2,298,10,1,0,2011,357
KERALA,2,51,4,285,21,1,0,2011,364
KERALA,0,14,5,171,10,1,0,2011,201
KERALA,1,46,5,322,16,1,1,2011,392
KERALA,0,83,0,661,12,1,1,2011,758
KERALA,2,85,0,404,9,1,1,2011,502
KERALA,0,33,0,158,15,1,1,2011,208
KERALA,0,0,0,0,0,1,1,2011,2
KERALA,0,28,5,131,10,1,1,2011,176
KERALA,1,69,4,449,12,1,1,2011,537
KERALA,0,39,1,156,13,1,1,2011,211
KERALA,4,140,0,422,15,1,1,2011,583
KERALA,2,65,2,124,6,1,1,2011,201
KERALA,15,1132,10,5377,221,1,1,2011,6757
MADHYA PRADESH,0,24,0,8,18,1,1,2011,52
MADHYA PRADESH,10,60,32,42,7,1,1,2011,153
MADHYA PRADESH,8,36,2,33,5,1,1,2011,86
MADHYA PRADESH,3,55,38,37,7,1,1,2011,142
MADHYA PRADESH,2,39,0,11,7,1,1,2011,61
MADHYA PRADESH,20,120,0,53,18,1,1,2011,213
MADHYA PRADESH,28,51,0,45,18,1,1,2011,144
MADHYA PRADESH,19,146,0,198,32,1,1,2011,397
MADHYA PRADESH,0,0,5,0,0,1,1,2011,7
MADHYA PRADESH,5,29,0,13,2,1,1,2011,51
MADHYA PRADESH,33,77,0,75,42,1,1,2011,229
MADHYA PRADESH,14,111,3,89,22,0,1,2011,240
MADHYA PRADESH,27,52,0,139,14,0,1,2011,233
MADHYA PRADESH,10,25,6,37,19,0,1,2011,98
MADHYA PRADESH,19,102,7,110,21,0,1,2011,260
MADHYA PRADESH,62,103,0,74,41,0,1,2011,281
MADHYA PRADESH,1,46,0,21,4,0,1,2011,73
MADHYA PRADESH,9,75,5,30,24,0,1,2011,144
MADHYA PRADESH,34,75,4,168,81,0,1,2011,363
MADHYA PRADESH,5,53,1,14,15,0,1,2011,89
MADHYA PRADESH,16,59,0,120,26,0,1,2011,222
MADHYA PRADESH,41,129,0,398,52,0,1,2011,621
MADHYA PRADESH,1,2,7,0,1,0,1,2011,12
MADHYA PRADESH,39,107,2,212,27,0,1,2011,388
MADHYA PRADESH,1,3,8,0,2,0,1,2011,15
MADHYA PRADESH,4,42,6,10,17,0,1,2011,80
MADHYA PRADESH,16,62,0,51,7,0,1,2011,137
MADHYA PRADESH,5,59,0,24,10,0,1,2011,99
MADHYA PRADESH,38,39,0,38,13,0,1,2011,129
MADHYA PRADESH,4,63,0,27,9,0,1,2011,104
MADHYA PRADESH,4,49,3,58,18,0,1,2011,133
MADHYA PRADESH,32,40,5,85,23,0,1,2011,186
MADHYA PRADESH,20,65,2,69,15,0,0,2011,171
MADHYA PRADESH,4,25,0,51,9,0,0,2011,89
MADHYA PRADESH,14,48,4,48,5,0,0,2011,119
MADHYA PRADESH,15,118,0,67,22,0,0,2011,222
MADHYA PRADESH,6,90,1,51,21,0,0,2011,169
MADHYA PRADESH,9,97,44,135,39,0,0,2011,324
MADHYA PRADESH,32,91,2,112,25,0,0,2011,262
MADHYA PRADESH,37,131,38,156,104,0,0,2011,466
MADHYA PRADESH,20,83,0,109,13,0,0,2011,225
MADHYA PRADESH,9,61,0,27,11,0,0,2011,108
MADHYA PRADESH,21,80,0,108,17,0,0,2011,226
MADHYA PRADESH,8,50,0,7,10,0,0,2011,75
MADHYA PRADESH,2,18,8,9,7,0,0,2011,44
MADHYA PRADESH,13,93,0,65,18,0,0,2011,189
MADHYA PRADESH,16,32,0,45,31,0,0,2011,124
MADHYA PRADESH,11,82,4,76,26,0,0,2011,199
MADHYA PRADESH,13,43,0,59,24,0,0,2011,139
MADHYA PRADESH,18,76,4,36,23,0,0,2011,157
MADHYA PRADESH,14,81,1,176,35,0,0,2011,307
MADHYA PRADESH,3,22,1,27,4,0,0,2011,57
MADHYA PRADESH,16,87,0,79,27,0,0,2011,209
MADHYA PRADESH,811,3406,4,3732,1088,0,0,2011,9041
MAHARASHTRA,32,78,1,677,59,0,0,2011,847
MAHARASHTRA,13,30,0,140,37,0,0,2011,220
MAHARASHTRA,2,22,1,94,19,0,0,2011,138
MAHARASHTRA,3,69,6,104,27,0,0,2011,209
MAHARASHTRA,7,16,4,122,24,0,0,2011,173
MAHARASHTRA,36,18,5,212,12,0,0,2011,283
MAHARASHTRA,11,32,4,378,37,0,0,2011,462
MAHARASHTRA,1,23,0,50,9,0,0,2011,83
MAHARASHTRA,14,26,2,194,27,0,0,2011,263
MAHARASHTRA,4,56,0,109,25,0,0,2011,194
MAHARASHTRA,4,16,0,203,27,0,0,2011,250
MAHARASHTRA,0,20,6,23,3,0,0,2011,52
MAHARASHTRA,1,31,2,36,23,0,0,2011,93
MAHARASHTRA,0,18,2,82,8,0,0,2011,110
MAHARASHTRA,8,48,0,364,25,0,0,2011,445
MAHARASHTRA,23,15,2,289,17,0,0,2011,346
MAHARASHTRA,19,42,0,121,35,0,0,2011,217
MAHARASHTRA,4,17,3,156,37,0,0,2011,217
MAHARASHTRA,14,221,4,393,166,0,0,2011,798
MAHARASHTRA,0,3,0,0,6,0,0,2011,9
MAHARASHTRA,4,45,0,174,24,0,0,2011,247
MAHARASHTRA,0,1,4,1,0,0,0,2011,6
MAHARASHTRA,11,44,4,62,24,0,0,2011,145
MAHARASHTRA,29,32,2,325,43,1,0,2011,432
MAHARASHTRA,0,20,1,87,15,1,0,2011,124
MAHARASHTRA,5,25,0,115,11,1,0,2011,157
MAHARASHTRA,5,43,2,298,28,1,0,2011,377
MAHARASHTRA,1,38,9,110,17,1,0,2011,176
MAHARASHTRA,2,30,5,186,18,1,0,2011,242
MAHARASHTRA,5,26,2,215,16,1,0,2011,265
MAHARASHTRA,8,79,1,251,72,1,0,2011,412
MAHARASHTRA,0,0,0,0,0,1,0,2011,1
MAHARASHTRA,16,87,0,172,48,1,0,2011,324
MAHARASHTRA,2,7,0,42,5,1,0,2011,57
MAHARASHTRA,1,30,11,49,10,1,0,2011,102
MAHARASHTRA,5,40,4,98,13,1,0,2011,161
MAHARASHTRA,2,34,3,179,36,1,0,2011,255
MAHARASHTRA,0,11,0,5,7,1,0,2011,24
MAHARASHTRA,0,22,3,68,18,1,0,2011,112
MAHARASHTRA,6,53,1,175,32,1,0,2011,268
MAHARASHTRA,8,79,0,342,70,1,0,2011,500
MAHARASHTRA,10,63,41,57,32,1,0,2011,204
MAHARASHTRA,3,34,3,62,23,1,0,2011,126
MAHARASHTRA,12,13,0,118,21,1,0,2011,165
MAHARASHTRA,8,44,0,198,46,1,0,2011,297
MAHARASHTRA,339,1701,0,7136,1252,1,0,2011,10429
MANIPUR,0,2,0,3,11,1,0,2011,17
MANIPUR,0,1,8,0,0,1,0,2011,10
MANIPUR,0,0,0,1,3,1,0,2011,5
MANIPUR,0,0,0,0,0,1,0,2011,1
MANIPUR,0,11,2,8,28,1,0,2011,50
MANIPUR,1,17,5,8,45,1,0,2011,77
MANIPUR,0,0,0,0,1,1,0,2011,2
MANIPUR,0,0,3,0,0,1,0,2011,4
MANIPUR,0,21,6,19,28,1,0,2011,75
MANIPUR,0,1,0,0,0,1,0,2011,2
MANIPUR,1,53,0,39,116,1,0,2011,210
MEGHALAYA,0,3,7,0,0,1,0,2011,11
MEGHALAYA,0,2,0,1,4,1,0,2011,8
MEGHALAYA,1,8,0,8,9,1,0,2011,27
MEGHALAYA,0,43,0,0,8,1,0,2011,52
MEGHALAYA,0,42,0,11,8,1,0,2011,62
MEGHALAYA,0,15,2,0,5,1,0,2011,23
MEGHALAYA,0,17,4,1,3,1,0,2011,26
MEGHALAYA,1,130,5,21,37,1,0,2011,195
MIZORAM,0,35,5,9,0,1,0,2011,50
MIZORAM,0,10,0,0,0,1,0,2011,11
MIZORAM,0,7,0,0,0,1,0,2011,8
MIZORAM,0,2,0,0,0,1,0,2011,3
MIZORAM,0,13,0,0,0,1,0,2011,14
MIZORAM,0,4,5,0,0,1,0,2011,10
MIZORAM,0,2,4,0,0,1,0,2011,7
MIZORAM,0,4,1,0,0,1,0,2011,6
MIZORAM,0,77,0,9,0,1,0,2011,87
NAGALAND,0,9,2,1,1,1,0,2011,14
NAGALAND,0,0,10,0,0,1,0,2011,11
NAGALAND,0,0,0,0,0,1,0,2011,1
NAGALAND,0,1,32,0,0,1,0,2011,34
NAGALAND,0,2,2,0,1,1,0,2011,6
NAGALAND,0,2,38,0,0,1,0,2011,41
NAGALAND,0,0,0,0,0,1,0,2011,1
NAGALAND,0,3,0,0,0,1,0,2011,4
NAGALAND,0,2,0,0,0,1,0,2011,3
NAGALAND,0,1,0,0,0,1,0,2011,2
NAGALAND,0,3,5,0,1,1,0,2011,10
NAGALAND,0,23,0,1,3,1,0,2011,28
ODISHA,25,63,0,58,39,1,0,2011,186
ODISHA,45,75,3,279,97,1,0,2011,500
ODISHA,16,21,0,99,11,1,0,2011,148
ODISHA,9,13,6,86,15,1,0,2011,130
ODISHA,24,26,7,138,51,1,0,2011,247
ODISHA,6,52,0,44,24,1,0,2011,127
ODISHA,0,14,0,15,16,1,0,2011,46
ODISHA,24,34,5,133,40,1,0,2011,237
ODISHA,13,35,4,32,32,1,0,2011,117
ODISHA,0,19,1,88,25,1,0,2011,134
ODISHA,2,15,0,6,8,1,0,2011,32
ODISHA,22,17,0,24,29,1,0,2011,93
ODISHA,0,11,7,20,6,1,0,2011,45
ODISHA,32,50,2,0,39,1,0,2011,124
ODISHA,18,31,8,75,42,1,0,2011,175
ODISHA,30,31,6,97,44,1,0,2011,209
ODISHA,7,27,0,17,12,1,0,2011,64
ODISHA,9,46,0,95,22,1,0,2011,173
ODISHA,9,32,0,41,21,1,0,2011,104
ODISHA,36,41,0,147,43,1,0,2011,268
ODISHA,22,75,3,110,44,1,0,2011,255
ODISHA,10,29,5,139,27,1,0,2011,211
ODISHA,0,53,2,48,36,1,0,2011,140
ODISHA,6,8,0,19,10,1,0,2011,44
ODISHA,34,76,4,143,87,1,0,2011,345
ODISHA,16,25,0,89,26,1,0,2011,157
ODISHA,2,44,1,43,44,1,0,2011,135
ODISHA,2,4,44,20,10,1,0,2011,81
ODISHA,27,21,2,98,27,1,0,2011,176
ODISHA,7,32,38,38,34,1,0,2011,150
ODISHA,1,26,0,31,19,1,0,2011,78
ODISHA,2,30,0,29,12,1,0,2011,74
