State/UT,Dowry Deaths ,Murder with Rape,Acid Attack ,Cruelty by Husband or his relatives,Kidnapping & Abduction,Procuration of Minor Girls ,Sexual Assault of Children ,year,Total crimes
TAMIL NADU,2,9,0,83,10,3,0,2011,107
TAMIL NADU,16,30,2,57,102,3,0,2011,210
TAMIL NADU,0,14,10,53,61,3,0,2011,141
TAMIL NADU,3,18,0,117,50,3,0,2011,191
TAMIL NADU,1,10,32,19,35,3,0,2011,100
TAMIL NADU,1,19,2,25,22,3,0,2011,72
TAMIL NADU,3,10,38,90,50,3,0,2011,194
TAMIL NADU,1,8,0,22,56,3,0,2011,90
TAMIL NADU,7,12,0,29,52,3,0,2011,103
TAMIL NADU,12,21,0,73,88,3,0,2011,197
TAMIL NADU,5,7,0,71,18,3,0,2011,104
TAMIL NADU,5,13,5,12,32,3,0,2011,70
TAMIL NADU,1,8,0,14,55,3,0,2011,81
TAMIL NADU,0,6,0,4,7,3,0,2011,20
TAMIL NADU,1,7,3,3,25,3,0,2011,42
TAMIL NADU,0,7,0,18,41,3,0,2011,69
TAMIL NADU,1,6,6,9,51,3,0,2011,76
TAMIL NADU,4,35,7,51,100,3,0,2011,200
TAMIL NADU,2,23,0,38,35,3,0,2011,101
TAMIL NADU,1,5,0,43,30,3,0,2011,82
TAMIL NADU,1,10,5,12,43,3,0,2011,74
TAMIL NADU,12,22,4,89,79,3,0,2011,209
TAMIL NADU,8,52,1,120,46,3,0,2011,230
TAMIL NADU,0,7,0,2,13,3,0,2011,25
TAMIL NADU,7,6,0,12,10,3,0,2011,38
TAMIL NADU,3,24,7,11,59,3,0,2011,107
TAMIL NADU,2,4,2,6,20,3,0,2011,37
TAMIL NADU,4,29,8,40,35,3,0,2011,119
TAMIL NADU,9,9,6,89,43,3,0,2011,159
TAMIL NADU,0,0,0,1,0,3,0,2011,4
TAMIL NADU,2,13,0,35,52,3,0,2011,105
TAMIL NADU,2,6,0,28,21,3,0,2011,60
TAMIL NADU,5,25,0,44,78,3,0,2011,155
TAMIL NADU,7,86,3,140,187,3,0,2011,426
TAMIL NADU,1,19,5,58,49,3,0,2011,135
TAMIL NADU,152,677,2,1812,1743,3,0,2011,4389
TRIPURA,1,21,0,52,9,3,0,2011,86
TRIPURA,0,0,4,0,0,3,0,2011,7
TRIPURA,1,40,0,172,27,3,0,2011,243
TRIPURA,5,58,1,181,24,3,0,2011,272
TRIPURA,23,86,44,297,56,3,0,2011,509
TRIPURA,30,205,2,702,116,3,0,2011,1058
UTTAR PRADESH,87,76,38,341,328,3,0,2011,873
UTTAR PRADESH,73,66,0,256,265,3,0,2011,663
UTTAR PRADESH,75,67,0,266,190,3,0,2011,601
UTTAR PRADESH,16,16,0,88,74,3,0,2011,197
UTTAR PRADESH,25,15,0,26,73,3,0,2011,142
UTTAR PRADESH,27,28,8,49,101,3,0,2011,216
UTTAR PRADESH,48,18,0,59,115,3,0,2011,243
UTTAR PRADESH,17,12,0,106,74,3,0,2011,212
UTTAR PRADESH,62,57,4,55,128,3,0,2011,309
UTTAR PRADESH,17,7,0,27,64,3,0,2011,118
UTTAR PRADESH,16,10,4,0,50,3,0,2011,83
UTTAR PRADESH,29,26,1,31,48,4,0,2011,139
UTTAR PRADESH,25,36,1,51,142,4,0,2011,259
UTTAR PRADESH,63,34,0,155,193,4,0,2011,449
UTTAR PRADESH,11,7,4,17,28,4,0,2011,71
UTTAR PRADESH,29,34,1,61,105,4,0,2011,234
UTTAR PRADESH,30,39,0,238,118,4,4,2011,433
UTTAR PRADESH,50,47,1,362,192,4,4,2011,660
UTTAR PRADESH,17,8,6,48,19,4,4,2011,106
UTTAR PRADESH,14,20,4,11,22,4,4,2011,79
UTTAR PRADESH,17,20,5,53,96,4,4,2011,199
UTTAR PRADESH,27,8,4,24,53,4,4,2011,124
UTTAR PRADESH,30,19,0,57,61,4,4,2011,175
UTTAR PRADESH,42,13,2,52,73,4,4,2011,190
UTTAR PRADESH,11,27,0,21,114,4,4,2011,181
UTTAR PRADESH,25,16,0,59,83,4,4,2011,191
UTTAR PRADESH,45,40,6,45,92,4,4,2011,236
UTTAR PRADESH,43,32,2,83,144,4,4,2011,312
UTTAR PRADESH,1,2,2,0,6,4,4,2011,19
UTTAR PRADESH,25,25,0,102,95,4,4,2011,255
UTTAR PRADESH,47,22,2,255,219,4,4,2011,553
UTTAR PRADESH,35,11,0,26,18,4,4,2011,98
UTTAR PRADESH,27,34,3,6,116,4,4,2011,194
UTTAR PRADESH,41,50,4,224,215,4,4,2011,542
UTTAR PRADESH,15,12,0,20,38,4,4,2011,93
UTTAR PRADESH,32,24,0,72,123,4,4,2011,259
UTTAR PRADESH,24,35,4,84,77,4,4,2011,232
UTTAR PRADESH,16,44,4,83,50,4,4,2011,205
UTTAR PRADESH,40,7,2,22,47,4,4,2011,126
UTTAR PRADESH,42,14,1,41,90,4,4,2011,196
UTTAR PRADESH,28,19,0,52,92,4,4,2011,199
UTTAR PRADESH,34,14,2,98,101,4,4,2011,257
UTTAR PRADESH,69,71,9,284,303,4,4,2011,744
UTTAR PRADESH,22,22,5,21,47,4,4,2011,125
UTTAR PRADESH,22,23,2,31,40,4,4,2011,126
UTTAR PRADESH,57,35,1,57,132,4,4,2011,290
UTTAR PRADESH,35,13,0,31,75,4,4,2011,162
UTTAR PRADESH,14,15,0,26,30,4,4,2011,93
UTTAR PRADESH,48,55,0,511,283,4,4,2011,905
UTTAR PRADESH,26,18,11,12,42,4,4,2011,117
UTTAR PRADESH,15,16,4,31,31,4,4,2011,105
UTTAR PRADESH,34,33,3,52,92,4,4,2011,222
UTTAR PRADESH,36,39,0,226,123,4,4,2011,432
UTTAR PRADESH,7,19,3,64,60,4,4,2011,161
UTTAR PRADESH,36,79,1,400,271,4,4,2011,795
UTTAR PRADESH,20,3,0,34,5,4,4,2011,70
UTTAR PRADESH,30,55,41,210,174,4,4,2011,518
UTTAR PRADESH,25,19,3,203,179,5,4,2011,438
UTTAR PRADESH,15,18,0,72,78,5,4,2011,192
UTTAR PRADESH,39,12,0,69,62,5,4,2011,191
UTTAR PRADESH,10,11,0,83,52,5,4,2011,165
UTTAR PRADESH,31,24,0,121,85,5,4,2011,270
UTTAR PRADESH,16,29,8,51,55,5,4,2011,168
UTTAR PRADESH,29,21,0,65,83,5,4,2011,207
UTTAR PRADESH,26,43,0,86,98,5,4,2011,262
UTTAR PRADESH,32,21,2,135,82,5,4,2011,281
UTTAR PRADESH,6,17,5,19,48,5,4,2011,104
UTTAR PRADESH,47,40,0,28,130,5,4,2011,254
UTTAR PRADESH,16,16,3,1,36,5,4,2011,81
UTTAR PRADESH,17,9,6,29,42,5,4,2011,112
UTTAR PRADESH,60,66,0,138,202,5,4,2011,475
UTTAR PRADESH,8,19,0,16,21,5,4,2011,73
UTTAR PRADESH,11,2,7,10,6,5,4,2011,45
UTTAR PRADESH,14,21,0,58,46,5,4,2011,148
UTTAR PRADESH,30,36,0,85,104,5,4,2011,264
UTTAR PRADESH,41,11,0,136,76,5,4,2011,273
UTTAR PRADESH,2322,2042,0,7121,7525,5,4,2011,19019
UTTARAKHAND,6,3,2,6,2,5,4,2011,28
UTTARAKHAND,2,2,4,4,2,5,4,2011,23
UTTARAKHAND,0,2,5,2,1,5,4,2011,19
UTTARAKHAND,0,4,5,4,3,5,4,2011,25
UTTARAKHAND,10,31,0,101,47,5,4,2011,198
UTTARAKHAND,22,26,0,58,75,5,4,2011,190
UTTARAKHAND,15,10,0,19,24,5,4,2011,77
UTTARAKHAND,2,1,0,6,4,5,4,2011,22
UTTARAKHAND,5,9,5,5,4,5,4,2011,37
UTTARAKHAND,3,3,4,6,4,5,4,2011,29
UTTARAKHAND,1,3,1,1,1,5,4,2011,16
UTTARAKHAND,17,31,0,94,114,5,4,2011,265
UTTARAKHAND,0,4,2,1,2,5,4,2011,18
UTTARAKHAND,83,129,10,307,283,5,4,2011,821
WEST BENGAL,88,203,0,2847,414,5,4,2011,3561
WEST BENGAL,43,274,32,2793,349,5,4,2011,3500
WEST BENGAL,10,31,2,461,50,5,4,2011,563
WEST BENGAL,16,44,38,195,36,5,4,2011,338
WEST BENGAL,25,44,0,337,51,5,4,2011,466
WEST BENGAL,16,52,0,665,83,5,4,2011,825
WEST BENGAL,25,133,0,494,174,5,4,2011,835
WEST BENGAL,11,55,0,283,111,5,4,2011,469
WEST BENGAL,4,49,5,337,88,5,4,2011,492
WEST BENGAL,21,54,0,816,109,5,4,2011,1009
WEST BENGAL,26,35,0,644,114,5,4,2011,828
WEST BENGAL,2,24,3,411,103,6,4,2011,553
WEST BENGAL,0,1,0,1,6,6,4,2011,18
WEST BENGAL,13,211,6,947,257,6,4,2011,1444
WEST BENGAL,0,0,7,1,0,6,4,2011,18
WEST BENGAL,11,46,0,557,116,6,4,2011,740
WEST BENGAL,14,179,0,762,202,6,4,2011,1167
WEST BENGAL,49,433,5,2956,492,6,4,2011,3945
WEST BENGAL,65,185,4,1923,453,6,4,2011,2640
WEST BENGAL,27,53,1,803,141,6,4,2011,1035
WEST BENGAL,22,65,0,835,156,6,4,2011,1088
WEST BENGAL,3,65,0,197,52,6,4,2011,327
WEST BENGAL,0,1,7,1,4,6,4,2011,23
WEST BENGAL,0,0,2,0,1,6,4,2011,13
WEST BENGAL,19,126,8,506,149,6,4,2011,818
WEST BENGAL,510,2363,6,19772,3711,6,4,2011,26372
A & N ISLANDS,0,13,0,5,12,6,4,2011,40
A & N ISLANDS,0,0,0,0,0,6,4,2011,10
A & N ISLANDS,0,13,0,5,12,6,4,2011,40
CHANDIGARH,2,27,0,46,46,6,4,2011,131
CHANDIGARH,2,27,3,46,46,6,4,2011,134
D & N HAVELI,0,4,5,3,8,6,4,2011,30
D & N HAVELI,0,4,2,3,8,6,4,2011,27
DAMAN & DIU,0,1,0,2,1,6,4,2011,14
DAMAN & DIU,0,0,4,0,1,6,4,2011,15
DAMAN & DIU,0,1,0,2,2,6,4,2011,15
DELHI,0,1,1,128,0,6,4,2011,140
DELHI,3,16,44,29,89,6,4,2011,191
DELHI,0,1,2,0,0,6,4,2011,13
DELHI,142,572,38,1575,2085,6,4,2011,4422
DELHI,14,55,0,160,226,6,4,2011,465
DELHI,0,0,0,0,0,6,4,2011,10
DELHI,1,4,0,0,10,6,4,2011,25
DELHI,0,0,0,0,0,6,4,2011,10
DELHI,1,2,8,5,17,6,4,2011,43
DELHI,4,11,0,88,84,6,4,2011,197
DELHI,21,69,0,254,285,6,4,2011,639
DELHI,10,58,4,117,177,6,4,2011,376
DELHI,34,73,0,196,328,6,4,2011,641
DELHI,11,65,4,59,143,6,4,2011,292
DELHI,19,75,1,108,234,6,4,2011,447
DELHI,11,69,1,144,238,6,4,2011,473
DELHI,0,0,0,0,0,6,4,2011,10
DELHI,13,73,4,287,254,6,4,2011,641
LAKSHADWEEP,0,0,1,0,0,6,4,2011,11
LAKSHADWEEP,0,0,0,0,0,6,4,2011,10
PUDUCHERRY,0,0,1,1,0,6,4,2011,12
PUDUCHERRY,1,7,6,9,9,6,4,2011,42
PUDUCHERRY,1,7,4,10,9,6,4,2011,41
ANDHRA PRADESH,7,88,5,498,61,6,4,2012,669
ANDHRA PRADESH,19,18,4,130,63,6,4,2012,244
ANDHRA PRADESH,33,28,0,339,49,6,4,2012,459
ANDHRA PRADESH,13,26,2,120,44,6,4,2012,215
ANDHRA PRADESH,45,75,0,976,102,6,4,2012,1208
ANDHRA PRADESH,17,71,0,536,40,6,4,2012,674
ANDHRA PRADESH,1,1,6,2,0,6,4,2012,20
ANDHRA PRADESH,21,23,2,656,53,6,4,2012,765
ANDHRA PRADESH,9,24,2,687,32,6,4,2012,764
ANDHRA PRADESH,23,74,0,1339,31,6,4,2012,1477
ANDHRA PRADESH,46,40,0,759,98,6,4,2012,953
ANDHRA PRADESH,13,78,4,231,62,6,4,2012,398
ANDHRA PRADESH,16,67,2,791,55,6,4,2012,941
ANDHRA PRADESH,15,22,23,166,46,6,4,2012,282
ANDHRA PRADESH,27,56,1,204,70,6,4,2012,368
ANDHRA PRADESH,20,26,29,475,45,6,4,2012,605
ANDHRA PRADESH,20,52,0,302,79,6,4,2012,463
ANDHRA PRADESH,9,23,1,405,72,6,4,2012,520
ANDHRA PRADESH,19,35,0,596,23,6,4,2012,683
ANDHRA PRADESH,16,37,2,263,69,6,4,2012,397
ANDHRA PRADESH,3,13,0,183,5,6,4,2012,214
ANDHRA PRADESH,16,27,0,152,21,6,4,2012,226
ANDHRA PRADESH,0,2,0,0,0,6,4,2012,12
ANDHRA PRADESH,3,39,0,312,18,6,4,2012,382
ANDHRA PRADESH,6,12,12,96,14,6,4,2012,150
ANDHRA PRADESH,16,47,4,1136,39,6,4,2012,1252
ANDHRA PRADESH,0,0,0,1,3,6,4,2012,14
ANDHRA PRADESH,9,27,4,134,13,6,4,2012,197
ANDHRA PRADESH,11,50,1,412,20,6,4,2012,504
ANDHRA PRADESH,3,44,1,363,20,6,4,2012,441
ANDHRA PRADESH,20,56,1,101,58,6,4,2012,246
ANDHRA PRADESH,9,30,4,267,39,6,4,2012,359
ANDHRA PRADESH,19,130,1,757,59,6,4,2012,976
ANDHRA PRADESH,504,1341,0,13389,1403,6,4,2012,16647
ARUNACHAL PRADESH,0,0,1,0,1,6,4,2012,12
ARUNACHAL PRADESH,1,6,6,4,7,6,4,2012,34
ARUNACHAL PRADESH,0,2,4,1,4,6,4,2012,21
ARUNACHAL PRADESH,0,2,5,0,1,6,4,2012,18
ARUNACHAL PRADESH,0,6,4,0,2,6,4,2012,22
ARUNACHAL PRADESH,0,0,0,2,1,6,4,2012,13
ARUNACHAL PRADESH,0,3,2,2,5,6,4,2012,22
ARUNACHAL PRADESH,0,7,0,3,15,6,4,2012,35
ARUNACHAL PRADESH,0,6,0,1,3,6,4,2012,20
ARUNACHAL PRADESH,0,6,6,1,0,6,4,2012,23
ARUNACHAL PRADESH,0,1,2,3,3,6,4,2012,19
ARUNACHAL PRADESH,0,2,2,7,4,6,4,2012,25
ARUNACHAL PRADESH,0,0,0,2,2,6,4,2012,14
ARUNACHAL PRADESH,0,4,0,0,4,6,4,2012,18
ARUNACHAL PRADESH,0,0,4,0,0,6,4,2012,14
ARUNACHAL PRADESH,0,1,2,0,6,6,4,2012,19
ARUNACHAL PRADESH,0,0,23,0,0,6,4,2012,33
ARUNACHAL PRADESH,1,46,1,26,58,6,4,2012,142
ASSAM,3,33,29,15,50,6,4,2012,140
ASSAM,5,98,0,638,224,6,4,2012,975
ASSAM,0,0,1,0,0,6,4,2012,11
ASSAM,6,50,0,169,59,6,4,2012,294
ASSAM,0,4,2,0,1,6,4,2012,17
ASSAM,19,94,0,551,163,6,4,2012,837
ASSAM,0,24,0,78,30,6,4,2012,142
ASSAM,9,88,0,387,168,6,4,2012,662
ASSAM,2,74,0,82,61,6,4,2012,229
ASSAM,13,159,0,729,305,6,4,2012,1216
ASSAM,0,50,1,316,75,6,4,2012,452
ASSAM,2,3,2,10,3,6,4,2012,30
ASSAM,3,65,5,323,68,6,4,2012,474
ASSAM,1,60,7,226,154,6,4,2012,458
ASSAM,9,78,1,237,326,6,4,2012,661
ASSAM,6,56,2,125,65,6,4,2012,264
ASSAM,0,3,0,3,12,6,0,2012,24
ASSAM,1,42,0,254,95,0,0,2012,392
ASSAM,5,54,0,172,107,0,0,2012,338
ASSAM,0,28,1,30,50,0,0,2012,109
ASSAM,11,32,2,262,85,0,0,2012,392
ASSAM,3,27,5,84,65,0,0,2012,184
ASSAM,0,62,7,19,97,0,0,2012,185
ASSAM,4,58,1,115,88,0,0,2012,266
ASSAM,0,5,2,0,13,0,0,2012,20
ASSAM,10,173,0,875,348,0,0,2012,1406
ASSAM,3,34,0,131,89,0,0,2012,257
ASSAM,0,0,0,0,6,0,0,2012,6
ASSAM,5,78,1,269,153,0,0,2012,506
ASSAM,11,97,2,124,220,0,0,2012,454
ASSAM,1,64,5,137,142,0,0,2012,349
ASSAM,8,23,7,46,38,0,0,2012,122
ASSAM,140,1716,1,6407,3360,0,0,2012,11624
BIHAR,21,53,2,32,78,0,0,2012,186
BIHAR,13,5,0,22,24,0,0,2012,64
BIHAR,27,22,0,110,58,0,0,2012,217
BIHAR,9,11,0,37,69,0,0,2012,126
BIHAR,17,17,1,37,45,0,0,2012,117
BIHAR,27,11,2,79,113,0,0,2012,232
BIHAR,28,35,5,20,141,0,0,2012,229
BIHAR,21,10,7,42,38,0,0,2012,118
BIHAR,24,31,1,119,106,0,0,2012,281
BIHAR,38,9,2,56,69,0,0,2012,174
BIHAR,28,21,0,86,70,0,0,2012,205
BIHAR,34,44,0,377,150,0,0,2012,605
BIHAR,53,35,0,92,120,0,0,2012,300
BIHAR,43,20,1,190,89,0,0,2012,343
BIHAR,0,1,2,0,0,0,0,2012,3
BIHAR,18,27,5,65,43,0,0,2012,158
BIHAR,24,8,7,37,41,0,0,2012,117
BIHAR,24,73,1,111,112,0,0,2012,321
BIHAR,0,0,2,1,6,0,0,2012,9
BIHAR,12,18,0,41,34,0,0,2012,105
BIHAR,19,32,0,50,71,0,0,2012,172
BIHAR,10,13,0,55,28,0,0,2012,106
BIHAR,15,31,1,46,56,0,0,2012,149
BIHAR,27,31,2,195,163,0,0,2012,418
BIHAR,67,22,5,156,198,0,0,2012,448
BIHAR,8,9,7,40,49,0,0,2012,113
BIHAR,83,34,1,80,220,0,0,2012,418
BIHAR,0,2,2,0,0,0,0,2012,4
BIHAR,79,11,0,116,85,0,0,2012,291
BIHAR,10,2,0,64,18,0,0,2012,94
BIHAR,29,18,0,13,57,0,0,2012,117
BIHAR,97,49,1,377,300,0,0,2012,824
BIHAR,3,2,2,2,5,0,0,2012,14
BIHAR,17,39,5,0,95,0,0,2012,156
BIHAR,44,26,7,92,94,0,0,2012,263
BIHAR,10,16,1,72,76,0,0,2012,175
BIHAR,34,24,2,114,112,0,0,2012,286
BIHAR,74,23,0,138,137,0,0,2012,372
BIHAR,8,10,0,37,27,0,0,2012,82
BIHAR,9,2,0,9,22,0,0,2012,42
BIHAR,30,20,1,100,143,0,0,2012,294
BIHAR,64,20,2,101,166,0,0,2012,353
BIHAR,15,20,5,79,90,0,0,2012,209
BIHAR,62,20,7,196,171,0,0,2012,456
BIHAR,1275,927,1,3686,3789,0,0,2012,9678
CHHATTISGARH,4,22,2,9,6,0,0,2012,43
CHHATTISGARH,0,45,0,37,18,0,0,2012,100
CHHATTISGARH,0,64,0,30,0,0,0,2012,94
CHHATTISGARH,3,24,0,29,18,0,0,2012,74
CHHATTISGARH,10,47,1,95,28,0,0,2012,181
CHHATTISGARH,0,4,2,1,3,0,0,2012,10
CHHATTISGARH,0,7,5,5,1,0,0,2012,18
CHHATTISGARH,1,21,7,15,2,0,0,2012,46
CHHATTISGARH,9,91,1,111,47,0,0,2012,259
CHHATTISGARH,1,19,2,6,2,0,0,2012,30
CHHATTISGARH,0,2,0,2,6,0,0,2012,10
CHHATTISGARH,0,36,0,8,10,0,0,2012,54
CHHATTISGARH,11,33,0,123,19,0,0,2012,186
CHHATTISGARH,2,80,1,31,19,0,0,2012,133
CHHATTISGARH,1,22,2,20,14,0,0,2012,59
CHHATTISGARH,2,23,5,19,6,0,0,2012,55
CHHATTISGARH,0,11,7,2,0,0,0,2012,20
CHHATTISGARH,4,43,1,42,15,0,0,2012,105
CHHATTISGARH,5,42,2,65,12,0,0,2012,126
CHHATTISGARH,4,28,0,33,37,0,0,2012,102
CHHATTISGARH,2,6,0,26,13,0,0,2012,47
CHHATTISGARH,0,5,0,0,1,0,0,2012,6
CHHATTISGARH,6,69,1,55,14,0,0,2012,145
CHHATTISGARH,8,111,2,109,14,0,0,2012,244
CHHATTISGARH,3,31,5,17,7,0,0,2012,63
CHHATTISGARH,0,73,7,25,18,0,0,2012,123
CHHATTISGARH,0,1,1,2,5,0,0,2012,9
CHHATTISGARH,5,74,2,63,15,0,0,2012,159
CHHATTISGARH,81,1034,0,980,350,0,0,2012,2445
GOA,0,26,0,11,10,0,0,2012,47
GOA,0,29,2,13,6,0,0,2012,50
GOA,0,55,4,24,16,0,0,2012,99
GUJARAT,11,63,5,1448,183,0,0,2012,1710
GUJARAT,0,5,9,163,67,0,0,2012,244
GUJARAT,0,1,0,8,1,0,0,2012,10
GUJARAT,0,10,1,146,75,0,0,2012,232
GUJARAT,0,9,3,188,53,0,0,2012,253
GUJARAT,0,12,2,0,22,0,0,2012,36
GUJARAT,0,13,1,221,96,0,0,2012,331
GUJARAT,0,1,6,0,0,0,0,2012,7
GUJARAT,0,10,0,7,67,0,0,2012,84
GUJARAT,0,20,2,159,26,0,0,2012,207
GUJARAT,0,10,4,249,55,0,0,2012,318
GUJARAT,0,22,5,439,37,0,0,2012,503
GUJARAT,1,15,9,411,53,0,0,2012,489
GUJARAT,0,18,0,161,55,0,0,2012,234
GUJARAT,1,17,1,188,23,0,0,2012,230
GUJARAT,0,8,3,127,17,0,0,2012,155
GUJARAT,0,10,2,245,54,0,0,2012,311
GUJARAT,0,7,1,13,5,0,0,2012,26
GUJARAT,0,4,6,114,15,0,0,2012,139
GUJARAT,0,49,0,349,107,0,0,2012,505
GUJARAT,0,5,2,294,73,0,0,2012,374
GUJARAT,0,7,4,151,31,0,0,2012,193
GUJARAT,1,10,5,73,7,0,0,2012,96
GUJARAT,0,11,9,264,50,0,0,2012,334
GUJARAT,3,20,0,292,58,0,0,2012,373
GUJARAT,3,40,1,299,66,0,0,2012,409
GUJARAT,1,13,3,94,30,1,0,2012,142
GUJARAT,0,19,2,124,46,1,0,2012,192
GUJARAT,0,5,1,17,3,1,0,2012,27
GUJARAT,0,11,6,306,57,1,0,2012,381
GUJARAT,0,15,0,90,72,1,0,2012,178
GUJARAT,0,12,2,15,19,1,0,2012,49
GUJARAT,0,1,4,2,2,1,0,2012,10
GUJARAT,0,0,5,1,2,1,0,2012,9
GUJARAT,21,473,9,6658,1527,1,0,2012,8689
HARYANA,7,11,0,73,19,1,0,2012,111
HARYANA,5,21,1,159,39,1,0,2012,226
HARYANA,19,28,3,179,69,1,0,2012,299
HARYANA,8,47,2,197,87,1,0,2012,342
HARYANA,4,15,1,125,33,1,0,2012,179
HARYANA,5,1,6,1,7,1,0,2012,21
HARYANA,15,44,0,150,47,1,0,2012,257
HARYANA,12,44,2,312,88,1,0,2012,459
HARYANA,10,20,4,135,17,1,0,2012,187
HARYANA,17,34,5,114,40,1,0,2012,211
HARYANA,6,18,9,127,20,1,0,2012,181
HARYANA,23,63,0,204,41,1,0,2012,332
HARYANA,11,25,1,110,30,1,0,2012,178
HARYANA,10,14,3,78,18,1,0,2012,124
HARYANA,5,50,2,168,15,1,0,2012,241
HARYANA,12,32,1,107,47,1,0,2012,200
HARYANA,7,18,6,51,23,1,0,2012,106
HARYANA,15,35,0,136,67,1,0,2012,254
HARYANA,12,24,2,102,20,1,0,2012,161
HARYANA,12,37,4,143,23,1,0,2012,220
HARYANA,6,30,5,159,55,1,0,2012,256
HARYANA,30,32,9,185,49,1,0,2012,306
HARYANA,7,25,0,122,46,1,0,2012,201
HARYANA,258,668,1,3137,900,1,0,2012,4965
HIMACHAL PRADESH,1,12,3,16,8,1,0,2012,41
HIMACHAL PRADESH,0,12,2,22,5,1,0,2012,42
HIMACHAL PRADESH,1,10,1,7,14,1,0,2012,34
HIMACHAL PRADESH,0,0,6,0,0,1,0,2012,7
HIMACHAL PRADESH,0,0,2,0,0,1,0,2012,3
HIMACHAL PRADESH,0,8,0,17,2,1,0,2012,28
HIMACHAL PRADESH,0,26,3,43,47,1,0,2012,120
HIMACHAL PRADESH,0,6,4,5,2,1,0,2012,18
HIMACHAL PRADESH,0,22,0,10,5,1,0,2012,38
HIMACHAL PRADESH,0,2,0,0,0,1,0,2012,3
HIMACHAL PRADESH,0,28,4,32,18,1,0,2012,83
HIMACHAL PRADESH,0,23,4,23,25,1,0,2012,76
HIMACHAL PRADESH,0,17,2,18,11,1,0,2012,49
HIMACHAL PRADESH,0,9,1,16,8,1,0,2012,35
HIMACHAL PRADESH,0,8,0,42,7,1,0,2012,58
HIMACHAL PRADESH,2,183,2,251,152,1,0,2012,591
JAMMU & KASHMIR,0,14,9,4,92,1,0,2012,120
JAMMU & KASHMIR,0,4,2,1,29,1,0,2012,37
JAMMU & KASHMIR,0,6,0,0,45,1,0,2012,52
JAMMU & KASHMIR,0,12,3,13,79,1,0,2012,108
JAMMU & KASHMIR,0,7,4,5,73,1,0,2012,90
JAMMU & KASHMIR,0,0,0,0,0,1,0,2012,1
JAMMU & KASHMIR,0,0,0,0,0,1,0,2012,1
JAMMU & KASHMIR,0,16,4,26,31,1,0,2012,78
JAMMU & KASHMIR,0,9,4,2,32,1,0,2012,48
JAMMU & KASHMIR,0,6,2,2,35,1,0,2012,46
JAMMU & KASHMIR,5,39,1,67,92,1,0,2012,205
JAMMU & KASHMIR,0,1,0,0,0,1,0,2012,2
JAMMU & KASHMIR,1,20,2,14,34,1,0,2012,72
JAMMU & KASHMIR,0,6,9,11,23,1,0,2012,50
JAMMU & KASHMIR,0,15,2,2,68,1,0,2012,88
JAMMU & KASHMIR,0,15,0,9,49,1,0,2012,74
JAMMU & KASHMIR,0,3,3,0,1,1,0,2012,8
JAMMU & KASHMIR,0,9,4,14,41,1,0,2012,69
JAMMU & KASHMIR,0,3,0,0,21,1,0,2012,25
JAMMU & KASHMIR,0,0,0,0,0,1,0,2012,1
JAMMU & KASHMIR,0,0,4,0,1,1,0,2012,6
JAMMU & KASHMIR,0,0,4,0,0,1,0,2012,5
JAMMU & KASHMIR,1,32,2,44,54,1,0,2012,134
JAMMU & KASHMIR,0,7,1,0,22,1,0,2012,31
JAMMU & KASHMIR,0,12,0,2,18,1,0,2012,33
JAMMU & KASHMIR,1,8,2,4,9,1,0,2012,25
JAMMU & KASHMIR,0,3,9,0,47,1,0,2012,60
JAMMU & KASHMIR,0,7,2,6,34,1,0,2012,50
JAMMU & KASHMIR,0,19,0,63,89,1,0,2012,172
JAMMU & KASHMIR,0,30,3,12,22,1,0,2012,68
JAMMU & KASHMIR,8,303,4,301,1041,1,0,2012,1658
JHARKHAND,21,46,0,212,63,1,0,2012,343
JHARKHAND,6,34,0,20,15,1,0,2012,76
JHARKHAND,8,15,4,18,20,1,0,2012,66
JHARKHAND,18,38,4,159,3,1,0,2012,223
JHARKHAND,49,41,2,89,101,1,0,2012,283
JHARKHAND,1,2,1,2,2,1,0,2012,9
JHARKHAND,8,29,0,43,26,1,0,2012,107
JHARKHAND,21,43,2,68,21,1,0,2012,156
JHARKHAND,32,37,9,104,36,1,0,2012,219
JHARKHAND,11,22,2,0,42,1,0,2012,78
JHARKHAND,2,36,0,6,44,1,0,2012,89
JHARKHAND,24,42,3,54,49,1,0,2012,173
JHARKHAND,17,56,4,106,91,1,0,2012,275
JHARKHAND,0,1,0,0,1,1,0,2012,3
JHARKHAND,5,27,0,72,10,1,0,2012,115
JHARKHAND,1,8,4,0,10,1,0,2012,24
JHARKHAND,13,8,4,29,22,1,0,2012,77
JHARKHAND,4,15,2,10,16,1,0,2012,48
JHARKHAND,1,23,1,23,18,1,0,2012,67
JHARKHAND,1,53,0,64,18,1,0,2012,137
JHARKHAND,28,26,2,20,30,1,0,2012,107
JHARKHAND,7,26,9,7,19,1,0,2012,69
JHARKHAND,11,52,2,45,53,1,0,2012,164
JHARKHAND,6,65,0,74,45,1,0,2012,191
JHARKHAND,6,35,3,25,14,1,0,2012,84
JHARKHAND,1,32,4,11,17,1,0,2012,66
JHARKHAND,302,812,0,1261,786,1,0,2012,3162
KARNATAKA,6,11,0,72,14,1,0,2012,104
KARNATAKA,51,90,4,524,433,1,0,2012,1103
KARNATAKA,10,31,4,96,41,1,0,2012,183
KARNATAKA,5,37,2,307,34,1,0,2012,386
